image_src,title,price,deal,shop,location
//g-search1.alicdn.com/img/bao/uploaded/i4/i3/2457188379/O1CN01nPUqYj2Bld8nGPpHL_!!0-item_pic.jpg,"丽扬大理石
口红
女持久保湿平价小众ins超火高颜值唇膏故宫学生款","¥
36.00",37194人付款,丽扬化妆品旗舰店,广东 广州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2820842454/O1CN01QTx4821TzyRtwBiYR_!!0-item_pic.jpg,"植村秀限定柔雾唇膏
口红
丝绒雾面哑光保湿润泽RD163正品","¥
215.00",3362人付款,植村秀官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/720818730/O1CN01sINj0j2EMO9vapQ8c_!!0-item_pic.jpg,"素萃
口红
女学生党持久保湿不脱色沾杯平价小众品牌少女砖红色国货","¥
45.99",24168人付款,素萃旗舰店,广东 广州
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3709307892/O1CN010O97T528AaFzvFhoC_!!0-item_pic.jpg,"洛梵诗正品网红姨妈色车厘子色平价小众
口红
女牛血烂番茄色学生款","¥
36.00",34881人付款,洛梵诗旗舰店,广东 广州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2354442049/O1CN01K9yoXF1R0U17F9QyU_!!0-item_pic.jpg,"宝罗丝丹丝柔雾面哑光唇釉套装持久保湿不脱色韩国防水学生
口红
女","¥
49.90",30422人付款,bonosidan宝罗丝丹旗舰店,福建 漳州
//g-search1.alicdn.com/img/bao/uploaded/i4/i4/765373213/TB2puoMr4WYBuNjy1zkXXXGGpXa_!!765373213-0-item_pic.jpg,"胡萝卜素
口红
小样女持久补水不脱色唇釉果冻孕妇温变色唇膏正品","¥
26.00",33638人付款,薇罗尼卡旗舰店,广东 广州
//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/42258719/O1CN01V4lfj52EHLmXZs6zP_!!0-saturn_solar.jpg,"自然堂高显色唇膏笔 鲜活滋润显色饱满唇膏
口红
旗舰店正品","¥
110.00",1850人付款,自然堂旗舰店,上海
//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/114611570/O1CN01kUh8k21NT6KRIkwdC_!!0-saturn_solar.jpg,"曼妮芬美妆丝绒雾面哑光复古持久不沾杯防水
口红","¥
139.00",212人付款,曼妮芬化妆品旗舰店,广东 深圳
//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/114189313/O1CN01yHkHqW2IfP49y8fyJ_!!0-saturn_solar.jpg,"抖音超火的神仙平价小众品牌holdlive大理石
口红
山君不离一箱学生","¥
25.00",4人付款,jywed88523,山东 日照
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3360811809/O1CN01orvJ171PEYzJRXnOR_!!0-item_pic.jpg,"买2送1 vnk哑光
口红
锦鲤色 持久不易脱色 丝绒雾面唇膏 不拔干","¥
79.00",79102人付款,vnk旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2563613536/O1CN01B45eKi1bzWzgPjQ5r_!!0-item_pic.jpg,"BOBBI BROWN芭比波朗炙恋唇膏
口红
ruby 唇釉 cranberry奶茶色雾面","¥
240.00",1642人付款,芭比波朗官方旗舰店,浙江 嘉兴
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/746169379/O1CN015Fr9Za2J9dCpiguOE_!!0-item_pic.jpg,"Dior/迪奥烈艳蓝金唇膏
口红
888/999哑光滋润047/520/028千色店","¥
298.00",1252人付款,千色店旗舰店,广东 深圳
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/4097766229/O1CN011vsvYwdIYwE2UUV_!!0-item_pic.jpg,"HEDONE摩登时代唇釉女学生哑光唇蜜唇彩复古醉生梦死雾面小众
口红","¥
99.00",52846人付款,hedonefashionsnobs旗舰店,上海
//g-search1.alicdn.com/img/bao/uploaded/i4/i2/1020685418/O1CN0156rTtp1ptUNspstcg_!!1020685418.jpg,"正品大牌迪可迪奥
口红
女礼盒套装520限量版哑光滋润保湿 999 888","¥
168.00",1818人付款,沫沫袜铺,北京
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/4260076097/O1CN01KIdzmL1uuTJdduALY_!!0-item_pic.jpg,"【官方正品】3CE哑光
口红
吃土南瓜胡萝卜220脏橘116辣椒红唇膏","¥
125.00",16427人付款,3ce官方旗舰店,江苏 苏州
//g-search1.alicdn.com/img/bao/uploaded/i4/i1/3626596873/O1CN01dz2aDA20dsePi7xgg_!!0-item_pic.jpg,"YSL圣罗兰莹亮纯魅唇膏 圆管斩男色
口红
12蜜桃色46珊瑚橘14 正品","¥
320.00",26004人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3626596873/O1CN01QYjEQl20dsePnGduy_!!0-item_pic.jpg,"YSL圣罗兰纯色唇釉 水唇釉镜面唇釉唇彩番茄红
口红
斩男色 正品","¥
320.00",6381人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1672097348/O1CN01kF2jTz249QnMLKdqU_!!0-item_pic.jpg,"Dior/迪奥烈艳蓝金唇膏
口红
999 740创意表白礼盒 送女友礼物 正品","¥
379.00",2703人付款,雅思丽莎化妆品专营店,北京
//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1672097348/O1CN01MZ9cnz249QnFOlZ7d_!!0-item_pic.jpg,"Dior/迪奥烈艳蓝金唇膏
口红
999 520 888 正品
口红
香水套装送礼","¥
980.00",660人付款,雅思丽莎化妆品专营店,北京
//g-search1.alicdn.com/img/bao/uploaded/i4/i3/3527212490/O1CN01lc3Ggq1UGShoraBYb_!!0-item_pic.jpg,"阿玛尼红管丝绒哑光唇釉正品
口红
豆沙色烂番茄色405/400","¥
310.00",37218人付款,阿玛尼美妆官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2064892827/O1CN01yO9KJ71WkoBMEcraH_!!2-item_pic.png,"雅诗兰黛
口红
420倾慕唇膏 保湿滋润防水不脱色玫瑰豆沙色顺丰免邮","¥
270.00",23380人付款,雅诗兰黛官方旗舰店,浙江 杭州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2064892827/O1CN01AkYln11WkoAtBhST0_!!0-item_pic.jpg,"雅诗兰黛
口红
唇釉 倾慕液体唇膏 滋润保湿 防水不沾杯 307 303","¥
270.00",3596人付款,雅诗兰黛官方旗舰店,浙江 杭州
